objectID,Title,ArtistName,TimePeriod,Region Detailed,Country,Century,Culture
35968,Forts Zeelandia and Provintia and the City of Tainan,Unidentified artist,19th century,China,China,1900's,Asian Art
35970,Song of the Lute,Ding Yunpeng,1585,China,China,1500's,Asian Art
35971,Landscape after Li Cheng,Unidentified artist,"18th century or later, spurious date of 1680",China,China,1800's,Asian Art
36005,"Mountain Market, Clearing Mist",Xia Gui,early 13th century,China,China,1300's,Asian Art
36011,First half of Ten Thousand Li of the Yangzi River,Unidentified artist,late 15th century,China,China,1500's,Asian Art
36013,Lady in a Bamboo Grove,Qiu Ying,Unavailable,China,China,Unavailable,Asian Art
36018,(Copy after) The Sixteen Luohans,Shitao (Zhu Ruoji),19th–early 20th century,China,China,1900's,Asian Art
36020,Pomegranates after Ma Lin,Unidentified artist,Unavailable,China,China,Unavailable,Asian Art
36023,Fisherman and family,Zhang Lu,16th century,China,China,1600's,Asian Art
36026,Spring Ablutions at the Orchid Pavilion,Wang Wenzhi,Unavailable,China,China,Unavailable,Asian Art
36028,Children Playing,Unidentified,16th–17th century,China,China,1600's,Asian Art
36029,Water-moon Avalokiteshvara,Unidentified artist,first half of the 14th century,Korea,Korea,1400's,Asian Art
36030,Lady in a Bamboo Grove after Qiu Ying,Shen Shuo,Unavailable,China,China,Unavailable,Asian Art
36035,Rosy Sunset,Wen Tong,16th century,China,China,1600's,Asian Art
36036,Hibiscus and Egret,Jiang Tingxi,dated 1724,China,China,1700's,Asian Art
36037,Viewing the Moon under a Pine Tree,Ma Yuan,early 13th century,China,China,1300's,Asian Art
36039,Horse and Willow Tree,Unidentified artist,early 15th century,China,China,1500's,Asian Art
36040,Four Deities with Horses,Unidentified,Unavailable,Japan,Japan,Unavailable,Asian Art
36042,Dragon and Landscape,Unidentified artist,14th century; plus later addition,China,China,1400's,Asian Art
36043,Bird,Ogawa Haritsu (Ritsuō),18th century,Japan,Japan,1800's,Asian Art
36047,Miniature landscapes,Zhang Zongcang,datable to 1751–54,China,China,1700's,Asian Art
36054,Landscape with Birds,Unidentified artist,16th century?,China,China,1600's,Asian Art
36055,Landscape with great pine,Ma Lin,second quarter of the 13th century,China,China,1300's,Asian Art
36058,Prunus,Zhou Zonglian,dated 1532 or 1592,China,China,1500's,Asian Art
36059,Flowers and Butterflies,Ma Quan,Unavailable,China,China,Unavailable,Asian Art
36063,Wild Geese in Winter,Unidentified artist,13th century,China,China,1300's,Asian Art
36065,Man Sleeping on a Bamboo Couch,Unidentified artist,Unavailable,China,China,Unavailable,Asian Art
36066,Portraits of Emperors of Successive Dynasties,Unidentified artist,early 20th century (?),China,China,2000's,Asian Art
36067,"Spring Landscape with Plum Blossoms, Scholar and Deer",Xie Shichen,dated 1548,China,China,1500's,Asian Art
36081,Portrait of the Artist's Great-Granduncle Yizhai at the Age of Eighty-Five,Ruan Zude,"dated ""xinyou"" (1561 or 1621?)",China,China,1500's,Asian Art
36082,Portrait of an Old Lady,Ruan Zude,"dated ""xinyou"" (1561 or 1621?)",China,China,1500's,Asian Art
36083,The Sixteen Luohans,Chen Xian,spurious date of 1634,China or Japan,Japan,1600's,Asian Art
36084,Flowering Plum in Moonlight and Snow,Liu Shiru,16th century,China,China,1600's,Asian Art
36089,"Autumn Landscape, leaf from Album for Zhou Lianggong",Xiang Shengmo,1654,China,China,1600's,Asian Art
36090,"White Crane Mountain, leaf from Album for Zhou Lianggong",Ye Xin,datable to 1654–55,China,China,1600's,Asian Art
36091,"Mountain Retreat,  leaf from Album for Zhou Lianggong",Shi Lin,datable to 1654–55,China,China,1600's,Asian Art
36093,Landscape for Zhao Yipeng,Tang Yin,late 15th–early 16th century,China,China,1500's,Asian Art
36103,Eight Songs of the Xiao and Xiang Rivers,Wen Zhengming,Unavailable,China,China,Unavailable,Asian Art
36105,"Cranes, Peach Tree, and Chinese Roses",Shen Quan,early 18th century,China,China,1800's,Asian Art
36106,Flowers and Birds,Shen Quan,1750,China,China,1700's,Asian Art
36107,Ema (Votive Painting) of Chinese Lion Led by Utenō,Unavailable,dated 1627,Japan,Japan,1600's,Asian Art
36109,Ema (Votive Painting) of Chinese Lion and Peony Tree,Unavailable,1649,Japan,Japan,1600's,Asian Art
36112,Ōtsu-e of Thirteen Buddhist Deities,Unavailable,17th century,Japan,Japan,1700's,Asian Art
36120,Washing the White Elephant,Chen Zi,Unavailable,China,China,Unavailable,Asian Art
36129,Landscapes Painted for Wang Kui,Wang Jian,1674–76,China,China,1600's,Asian Art
36131,Landscapes with poems,Gong Xian,1688,China,China,1600's,Asian Art
36133,View From a Mountain Pavilion,Li Yin,1700,China,China,1700's,Asian Art
36136,Spring Breeze of Myriad Pasts,Zhang You,Unavailable,China,China,Unavailable,Asian Art
36137,Gibbons and Deer,Unidentified artist,Unavailable,China,China,Unavailable,Asian Art
36138,Listening to the Zither Among Streams and Pines,Xie Shichen,Unavailable,China,China,Unavailable,Asian Art
36146,Copy of a Portrait of Zhao Mengfu,Unidentified artist,19th century,China,China,1900's,Asian Art
36160,Bringing the Message of Victory to Dongshan,Wang Su,1862,China,China,1800's,Asian Art
36168,Landscapes after old masters,Du Xiang,19th century,China,China,1900's,Asian Art
36170,"Animals, Flowers and Birds",Ren Yi (Ren Bonian),19th century,China,China,1900's,Asian Art
36171,Landscapes,Zhang Zhiwan,dated 1875,China,China,1800's,Asian Art
36184,Insects and Flowers,Ju Lian,Unavailable,China,China,Unavailable,Asian Art
36430,Tiger,Unidentified,14th century,China,China,1400's,Asian Art
36431,Dragon,Unidentified,14th century,China,China,1400's,Asian Art
36432,Plum Blossoms,Jin Nong,dated 1757,China,China,1700's,Asian Art
36433,Portrait of Ren'an in a Landscape,Shitao (Zhu Ruoji),dated 1684,China,China,1600's,Asian Art
36457,Grapevine in the Wind,Unidentified artist,16th century,Korea,Korea,1600's,Asian Art
36459,Peacock and Hollyhocks,Bian Lu,mid-14th century,China,China,1400's,Asian Art
37393,Zhong Kui,Ren Yi (Ren Bonian),dated 1883,China,China,1800's,Asian Art
37394,Boating beneath Echo Hill,Mei Qing,datable to 1673,China,China,1600's,Asian Art
37395,Miscellaneous Studies,Chen Hongshou,one leaf dated 1619,China,China,1600's,Asian Art
37396,"Figures, flowers, and landscapes",Chen Hongshou,one leaf dated 1627,China,China,1600's,Asian Art
37793,Pair of Hindu Manuscript Covers,Unavailable,12th century,Nepal (Kathmandu Valley),Nepal,1200's,Asian Art
37800,Sadaksari-Lokeshvara Surrounded by Manifestations and Monks,Unavailable,late 15th century,China,China,1500's,Asian Art
37801,Portrait of Jnanatapa Attended by Lamas and Mahasiddhas,Unavailable,ca. 1350,"Eastern Tibet, Kham, Riwoche monastery",China,1300's,Asian Art
37803,Mandala of Hevajra,Sakya School,16th century,China,China,1600's,Asian Art
37811,Demons Fighting Over an Animal Limb,Unavailable,late 17th century,"India (Rajasthan, Bikaner or the Deccan)",India,1700's,Asian Art
37819,"Buddhist Attendant, Possibly a Dakini",Unavailable,late 18th century,Eastern Tibet,China,1800's,Asian Art
37855,Krishna's Parents Search for Him,Unavailable,ca. 1615,India,India,1600's,Asian Art
37869,A Lady Applying Henna to Her Foot,"Ustad Mohamed, son of Murad",ca. 1720–30,"India (Rajasthan, Bikaner)",India,1700's,Asian Art
37873,Lady Musician Playing a Sitar,Unavailable,ca. 1800,"India (Rajasthan, Kota)",India,1800's,Asian Art
