objectID,Title,ArtistName,Department,TimePeriod,Region,Height,Width,H/W Ratio,Color
35968,Forts Zeelandia and Provintia and the City of Tainan,Unidentified artist,Asian Art,19th century,China,3947,3059,1.2902909447531874,RGB
35970,Song of the Lute,Ding Yunpeng,Asian Art,1585,China,4000,3166,1.2634238787113077,RGB
35971,Landscape after Li Cheng,Unidentified artist,Asian Art,"18th century or later, spurious date of 1680",China,550,716,0.7681564245810056,RGB
36005,"Mountain Market, Clearing Mist",Xia Gui,Asian Art,early 13th century,China,1108,1189,0.9318755256518082,RGB
36011,First half of Ten Thousand Li of the Yangzi River,Unidentified artist,Asian Art,late 15th century,China,1976,1542,1.2814526588845656,RGB
36013,Lady in a Bamboo Grove,Qiu Ying,Asian Art,Unavailable,China,3000,4000,0.75,RGB
36018,(Copy after) The Sixteen Luohans,Shitao (Zhu Ruoji),Asian Art,19th–early 20th century,China,1848,1266,1.4597156398104265,RGB
36020,Pomegranates after Ma Lin,Unidentified artist,Asian Art,Unavailable,China,3682,3722,0.9892530897367007,RGB
36023,Fisherman and family,Zhang Lu,Asian Art,16th century,China,511,700,0.73,RGB
36026,Spring Ablutions at the Orchid Pavilion,Wang Wenzhi,Asian Art,Unavailable,China,2000,1760,1.1363636363636365,RGB
36028,Children Playing,Unidentified,Asian Art,16th–17th century,China,2389,3653,0.6539830276485081,RGB
36029,Water-moon Avalokiteshvara,Unidentified artist,Asian Art,first half of the 14th century,Korea,2050,4000,0.5125,RGB
36030,Lady in a Bamboo Grove after Qiu Ying,Shen Shuo,Asian Art,Unavailable,China,1500,2000,0.75,RGB
36035,Rosy Sunset,Wen Tong,Asian Art,16th century,China,1881,1464,1.2848360655737705,RGB
36036,Hibiscus and Egret,Jiang Tingxi,Asian Art,dated 1724,China,2216,4000,0.554,RGB
36037,Viewing the Moon under a Pine Tree,Ma Yuan,Asian Art,early 13th century,China,3787,3409,1.11088295687885,RGB
36039,Horse and Willow Tree,Unidentified artist,Asian Art,early 15th century,China,1628,1827,0.8910782703886152,RGB
36040,Four Deities with Horses,Unidentified,Asian Art,Unavailable,Japan,1473,1777,0.8289251547552055,RGB
36042,Dragon and Landscape,Unidentified artist,Asian Art,14th century; plus later addition,China,4000,3002,1.3324450366422385,RGB
36043,Bird,Ogawa Haritsu (Ritsuō),Asian Art,18th century,Japan,4000,2803,1.4270424545130218,RGB
36047,Miniature landscapes,Zhang Zongcang,Asian Art,datable to 1751–54,China,3067,2703,1.1346651868294488,RGB
36054,Landscape with Birds,Unidentified artist,Asian Art,16th century?,China,485,853,0.5685814771395076,RGB
36055,Landscape with great pine,Ma Lin,Asian Art,second quarter of the 13th century,China,3851,3648,1.0556469298245614,RGB
36058,Prunus,Zhou Zonglian,Asian Art,dated 1532 or 1592,China,480,878,0.5466970387243736,RGB
36059,Flowers and Butterflies,Ma Quan,Asian Art,Unavailable,China,3811,2243,1.6990637539010254,RGB
36063,Wild Geese in Winter,Unidentified artist,Asian Art,13th century,China,1718,1893,0.907554146856841,RGB
36065,Man Sleeping on a Bamboo Couch,Unidentified artist,Asian Art,Unavailable,China,1925,1683,1.1437908496732025,RGB
36066,Portraits of Emperors of Successive Dynasties,Unidentified artist,Asian Art,early 20th century (?),China,3136,3407,0.9204578808335779,RGB
36067,"Spring Landscape with Plum Blossoms, Scholar and Deer",Xie Shichen,Asian Art,dated 1548,China,1136,1936,0.5867768595041323,RGB
36081,Portrait of the Artist's Great-Granduncle Yizhai at the Age of Eighty-Five,Ruan Zude,Asian Art,"dated ""xinyou"" (1561 or 1621?)",China,2556,4000,0.639,RGB
36082,Portrait of an Old Lady,Ruan Zude,Asian Art,"dated ""xinyou"" (1561 or 1621?)",China,2554,4000,0.6385,RGB
36083,The Sixteen Luohans,Chen Xian,Asian Art,spurious date of 1634,China or Japan,4000,3417,1.170617500731636,RGB
36084,Flowering Plum in Moonlight and Snow,Liu Shiru,Asian Art,16th century,China,1422,2200,0.6463636363636364,RGB
36089,"Autumn Landscape, leaf from Album for Zhou Lianggong",Xiang Shengmo,Asian Art,1654,China,3896,2930,1.3296928327645052,RGB
36090,"White Crane Mountain, leaf from Album for Zhou Lianggong",Ye Xin,Asian Art,datable to 1654–55,China,1923,1509,1.2743538767395626,RGB
36091,"Mountain Retreat,  leaf from Album for Zhou Lianggong",Shi Lin,Asian Art,datable to 1654–55,China,3857,2945,1.3096774193548386,RGB
36093,Landscape for Zhao Yipeng,Tang Yin,Asian Art,late 15th–early 16th century,China,2576,3894,0.6615305598356446,RGB
36103,Eight Songs of the Xiao and Xiang Rivers,Wen Zhengming,Asian Art,Unavailable,China,3141,3275,0.9590839694656489,RGB
36105,"Cranes, Peach Tree, and Chinese Roses",Shen Quan,Asian Art,early 18th century,China,1247,2000,0.6235,RGB
36106,Flowers and Birds,Shen Quan,Asian Art,1750,China,2135,3880,0.5502577319587629,RGB
36107,Ema (Votive Painting) of Chinese Lion Led by Utenō,Unavailable,Asian Art,dated 1627,Japan,3893,3060,1.2722222222222221,RGB
36109,Ema (Votive Painting) of Chinese Lion and Peony Tree,Unavailable,Asian Art,1649,Japan,4000,3366,1.1883541295306002,RGB
36112,Ōtsu-e of Thirteen Buddhist Deities,Unavailable,Asian Art,17th century,Japan,3000,4000,0.75,RGB
36120,Washing the White Elephant,Chen Zi,Asian Art,Unavailable,China,1261,2272,0.5550176056338029,RGB
36129,Landscapes Painted for Wang Kui,Wang Jian,Asian Art,1674–76,China,2000,1567,1.2763241863433312,RGB
36131,Landscapes with poems,Gong Xian,Asian Art,1688,China,1000,692,1.4450867052023122,RGB
36133,View From a Mountain Pavilion,Li Yin,Asian Art,1700,China,422,825,0.5115151515151515,RGB
36136,Spring Breeze of Myriad Pasts,Zhang You,Asian Art,Unavailable,China,3000,4000,0.75,RGB
36137,Gibbons and Deer,Unidentified artist,Asian Art,Unavailable,China,3807,3113,1.2229360745261806,RGB
36138,Listening to the Zither Among Streams and Pines,Xie Shichen,Asian Art,Unavailable,China,1139,2219,0.5132942767012167,RGB
36146,Copy of a Portrait of Zhao Mengfu,Unidentified artist,Asian Art,19th century,China,2111,4000,0.52775,RGB
36160,Bringing the Message of Victory to Dongshan,Wang Su,Asian Art,1862,China,1140,2000,0.57,RGB
36168,Landscapes after old masters,Du Xiang,Asian Art,19th century,China,2634,4000,0.6585,RGB
36170,"Animals, Flowers and Birds",Ren Yi (Ren Bonian),Asian Art,19th century,China,4000,3176,1.2594458438287153,RGB
36171,Landscapes,Zhang Zhiwan,Asian Art,dated 1875,China,3714,4000,0.9285,RGB
36184,Insects and Flowers,Ju Lian,Asian Art,Unavailable,China,2000,1792,1.1160714285714286,RGB
36430,Tiger,Unidentified,Asian Art,14th century,China,2998,4000,0.7495,RGB
36431,Dragon,Unidentified,Asian Art,14th century,China,2998,4000,0.7495,RGB
36432,Plum Blossoms,Jin Nong,Asian Art,dated 1757,China,1882,1585,1.1873817034700316,RGB
36433,Portrait of Ren'an in a Landscape,Shitao (Zhu Ruoji),Asian Art,dated 1684,China,948,629,1.507154213036566,RGB
36457,Grapevine in the Wind,Unidentified artist,Asian Art,16th century,Korea,2153,4000,0.53825,RGB
36459,Peacock and Hollyhocks,Bian Lu,Asian Art,mid-14th century,China,2241,3713,0.6035550767573391,RGB
37393,Zhong Kui,Ren Yi (Ren Bonian),Asian Art,dated 1883,China,1108,1982,0.5590312815338042,RGB
37394,Boating beneath Echo Hill,Mei Qing,Asian Art,datable to 1673,China,2125,3766,0.564259160913436,RGB
37395,Miscellaneous Studies,Chen Hongshou,Asian Art,one leaf dated 1619,China,3351,3849,0.8706157443491817,RGB
37396,"Figures, flowers, and landscapes",Chen Hongshou,Asian Art,one leaf dated 1627,China,1697,1904,0.8912815126050421,RGB
37793,Pair of Hindu Manuscript Covers,Unavailable,Asian Art,12th century,Nepal (Kathmandu Valley),925,543,1.703499079189687,RGB
37800,Sadaksari-Lokeshvara Surrounded by Manifestations and Monks,Unavailable,Asian Art,late 15th century,Tibet,2978,3722,0.800107469102633,RGB
37801,Portrait of Jnanatapa Attended by Lamas and Mahasiddhas,Unavailable,Asian Art,ca. 1350,"Eastern Tibet, Kham, Riwoche monastery",3211,4000,0.80275,RGB
37803,Mandala of Hevajra,Sakya School,Asian Art,16th century,Tibet,2667,4000,0.66675,RGB
