objectID,Title,ArtistName,TimePeriod,Region Detailed,Country,Century,Culture,Height,Width,H/W Ratio,Color
35968,Forts Zeelandia and Provintia and the City of Tainan,Unidentified artist,19th century,China,China,1900's,Asian Art,3947,3059,1.290290945,RGB
35970,Song of the Lute,Ding Yunpeng,1585,China,China,1500's,Asian Art,4000,3166,1.263423879,RGB
35971,Landscape after Li Cheng,Unidentified artist,"18th century or later, spurious date of 1680",China,China,1800's,Asian Art,550,716,0.768156425,RGB
36005,"Mountain Market, Clearing Mist",Xia Gui,early 13th century,China,China,1300's,Asian Art,1108,1189,0.931875526,RGB
36011,First half of Ten Thousand Li of the Yangzi River,Unidentified artist,late 15th century,China,China,1500's,Asian Art,1976,1542,1.281452659,RGB
36013,Lady in a Bamboo Grove,Qiu Ying,Unavailable,China,China,Unavailable,Asian Art,3000,4000,0.75,RGB
36018,(Copy after) The Sixteen Luohans,Shitao (Zhu Ruoji),19th–early 20th century,China,China,1900's,Asian Art,1848,1266,1.45971564,RGB
36020,Pomegranates after Ma Lin,Unidentified artist,Unavailable,China,China,Unavailable,Asian Art,3682,3722,0.98925309,RGB
36023,Fisherman and family,Zhang Lu,16th century,China,China,1600's,Asian Art,511,700,0.73,RGB
36026,Spring Ablutions at the Orchid Pavilion,Wang Wenzhi,Unavailable,China,China,Unavailable,Asian Art,2000,1760,1.136363636,RGB
36028,Children Playing,Unidentified,16th–17th century,China,China,1600's,Asian Art,2389,3653,0.653983028,RGB
36029,Water-moon Avalokiteshvara,Unidentified artist,first half of the 14th century,Korea,Korea,1400's,Asian Art,2050,4000,0.5125,RGB
36030,Lady in a Bamboo Grove after Qiu Ying,Shen Shuo,Unavailable,China,China,Unavailable,Asian Art,1500,2000,0.75,RGB
36035,Rosy Sunset,Wen Tong,16th century,China,China,1600's,Asian Art,1881,1464,1.284836066,RGB
36036,Hibiscus and Egret,Jiang Tingxi,dated 1724,China,China,1700's,Asian Art,2216,4000,0.554,RGB
36037,Viewing the Moon under a Pine Tree,Ma Yuan,early 13th century,China,China,1300's,Asian Art,3787,3409,1.110882957,RGB
36039,Horse and Willow Tree,Unidentified artist,early 15th century,China,China,1500's,Asian Art,1628,1827,0.89107827,RGB
36040,Four Deities with Horses,Unidentified,Unavailable,Japan,Japan,Unavailable,Asian Art,1473,1777,0.828925155,RGB
36042,Dragon and Landscape,Unidentified artist,14th century; plus later addition,China,China,1400's,Asian Art,4000,3002,1.332445037,RGB
36043,Bird,Ogawa Haritsu (Ritsuō),18th century,Japan,Japan,1800's,Asian Art,4000,2803,1.427042455,RGB
36047,Miniature landscapes,Zhang Zongcang,datable to 1751–54,China,China,1700's,Asian Art,3067,2703,1.134665187,RGB
36054,Landscape with Birds,Unidentified artist,16th century?,China,China,1600's,Asian Art,485,853,0.568581477,RGB
36055,Landscape with great pine,Ma Lin,second quarter of the 13th century,China,China,1300's,Asian Art,3851,3648,1.05564693,RGB
36058,Prunus,Zhou Zonglian,dated 1532 or 1592,China,China,1500's,Asian Art,480,878,0.546697039,RGB
36059,Flowers and Butterflies,Ma Quan,Unavailable,China,China,Unavailable,Asian Art,3811,2243,1.699063754,RGB
36063,Wild Geese in Winter,Unidentified artist,13th century,China,China,1300's,Asian Art,1718,1893,0.907554147,RGB
36065,Man Sleeping on a Bamboo Couch,Unidentified artist,Unavailable,China,China,Unavailable,Asian Art,1925,1683,1.14379085,RGB
36066,Portraits of Emperors of Successive Dynasties,Unidentified artist,early 20th century (?),China,China,2000's,Asian Art,3136,3407,0.920457881,RGB
36067,"Spring Landscape with Plum Blossoms, Scholar and Deer",Xie Shichen,dated 1548,China,China,1500's,Asian Art,1136,1936,0.58677686,RGB
36081,Portrait of the Artist's Great-Granduncle Yizhai at the Age of Eighty-Five,Ruan Zude,"dated ""xinyou"" (1561 or 1621?)",China,China,1500's,Asian Art,2556,4000,0.639,RGB
36082,Portrait of an Old Lady,Ruan Zude,"dated ""xinyou"" (1561 or 1621?)",China,China,1500's,Asian Art,2554,4000,0.6385,RGB
36083,The Sixteen Luohans,Chen Xian,spurious date of 1634,China or Japan,Japan,1600's,Asian Art,4000,3417,1.170617501,RGB
36084,Flowering Plum in Moonlight and Snow,Liu Shiru,16th century,China,China,1600's,Asian Art,1422,2200,0.646363636,RGB
36089,"Autumn Landscape, leaf from Album for Zhou Lianggong",Xiang Shengmo,1654,China,China,1600's,Asian Art,3896,2930,1.329692833,RGB
36090,"White Crane Mountain, leaf from Album for Zhou Lianggong",Ye Xin,datable to 1654–55,China,China,1600's,Asian Art,1923,1509,1.274353877,RGB
36091,"Mountain Retreat,  leaf from Album for Zhou Lianggong",Shi Lin,datable to 1654–55,China,China,1600's,Asian Art,3857,2945,1.309677419,RGB
